file_x,file_y,decision,distance_l2,distance_l2_scaled,y,pred_euclidean_l2
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2033024338,2950406043_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2996900555,852080785_align.jpg",Yes,1.2048,-1.2048,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1064443725,81020363_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/0db52fad7062d5444a36d678.jpg_align.jpg,Yes,0.9338,-0.9338,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4198803250,2026401963_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/640802359,234659442_align.jpg",Yes,1.416,-1.416,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11375/3891442477,936584836_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11375/1340820667,2772650163_align.jpg",Yes,1.3748,-1.3748,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/1131/813846020,40360654_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/1131/3214709553,160917862_align.jpg",Yes,1.303,-1.303,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/1185194547,492559106_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/1713564649,454267637_align.jpg",Yes,1.1341,-1.1341,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2903882682,3716624369_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/1055204053,1610472360_align.jpg",Yes,1.264,-1.264,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1700264269,2786645764_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/5327ce168edee954962b43e3.jpg_align.jpg,Yes,1.4756,-1.4756,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/2286966026,630579806_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/270462,2995910079_align.jpg",Yes,1.0351,-1.0351,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1946512639,1522756270_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2639258619,1377632734_align.jpg",Yes,1.3589,-1.3589,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2223/3169932695,314376900_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2223/3828778274,3662917451_align.jpg",Yes,1.3421,-1.3421,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2639258619,1377632734_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2145845385,3127195324_align.jpg",Yes,1.4024,-1.4024,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/852290995,2346374001_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/438823917,1304912170_align.jpg",Yes,1.2322,-1.2322,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/4234501406,3734853588_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/3755736485,2853730572_align.jpg",Yes,1.5437,-1.5437,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/183423830,1627352199_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2804001167,4084603668_align.jpg",Yes,1.1409,-1.1409,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/1724138856,2348214479_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3708850660,1652340902_align.jpg",Yes,1.1161,-1.1161,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1500049554,982072445_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2531253636,1248285634_align.jpg",Yes,1.4707,-1.4707,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5276/2858441430,547678806_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5276/1548847578,3604872323_align.jpg",Yes,0.9341,-0.9341,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/422439050,2473764264_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/228700104,3723510539_align.jpg",Yes,1.2278,-1.2278,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6751/3129544786,3433504537_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6751/1945178850,123922903_align.jpg",Yes,0.9194,-0.9194,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/3273995870,1099245446_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/988075098,935542228_align.jpg",Yes,1.4481,-1.4481,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/222300432,1323798351_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/2836643411,2901693321_align.jpg",Yes,1.4946,-1.4946,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2761189405,3243263844_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2058165757,2392531092_align.jpg",Yes,1.5097,-1.5097,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11879/4108510777,2367535007_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11879/2800077331,3806961051_align.jpg",Yes,1.3804,-1.3804,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3688019312,2562790391_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2722607394,829766120_align.jpg",Yes,1.5528,-1.5528,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2437945017,681885197_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/3782895329,561079960_align.jpg",Yes,1.1037,-1.1037,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/484/2509737998,3332812349_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/484/914277366,1460486334_align.jpg",Yes,1.2365,-1.2365,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/2117782619,116975348_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/3237993113,1480128730_align.jpg",Yes,1.2392,-1.2392,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13467/1586870632,452800238_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13467/1076711434,1342318838_align.jpg",Yes,0.8798,-0.8798,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1798246260,3746450363_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3249090030,1483823437_align.jpg",Yes,1.2943,-1.2943,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6331/2882254294,2732863613_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6331/1040976152,1549617684_align.jpg",Yes,1.4797,-1.4797,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1004627755,2791075210_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/519676420,287069073_align.jpg",Yes,1.5278,-1.5278,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7290/3034930970,3127767386_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7290/1148970624,529871524_align.jpg",Yes,1.6233,-1.6233,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/1453717566,422091252_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/2751688647,73776201_align.jpg",Yes,1.0205,-1.0205,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/919858109,3408347705_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/1086497151,3233517613_align.jpg",Yes,1.014,-1.014,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/512296553,2791719665_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/543341793,1768047299_align.jpg",Yes,1.6625,-1.6625,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1223250299,1965387401_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1278128748,2578167883_align.jpg",Yes,1.6624,-1.6624,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2647/4141686080,2852815102_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2647/493183961,862286756_align.jpg",Yes,1.0033,-1.0033,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3308250194,3736521374_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2642140100,1040280771_align.jpg",Yes,1.0037,-1.0037,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/3051846291,3372118359_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/677154077,1902995052_align.jpg",Yes,0.8832,-0.8832,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4156/145247084,234055640_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4156/2346352530,1112380333_align.jpg",Yes,1.0464,-1.0464,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/3640491686,3168394413_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/1010645288,2540722880_align.jpg",Yes,1.4444,-1.4444,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2225901881,1973423983_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/4251612600,2532925298_align.jpg",Yes,1.0366,-1.0366,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/3128814407,3868183562_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1473731585,1711746819_align.jpg",Yes,1.1237,-1.1237,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12316/1726811760,1938746817_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12316/559408879,4004805691_align.jpg",Yes,1.3648,-1.3648,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2260691058,2182893021_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/154775029,3417403615_align.jpg",Yes,1.1061,-1.1061,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/3797696440,4043943828_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/4031035729,275060856_align.jpg",Yes,1.2546,-1.2546,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2342096106,1373903848_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/209090961,2695687312_align.jpg",Yes,1.3306,-1.3306,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/219139053,1305230558_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2055379320,3417999821_align.jpg",Yes,1.2522,-1.2522,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3540871364,2040902221_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3351543349,714534003_align.jpg",Yes,1.058,-1.058,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/231128303,1621662240_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/2293734340,3765775390_align.jpg",Yes,1.4945,-1.4945,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/783991362,3766182621_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/209090961,2695687312_align.jpg",Yes,1.3305,-1.3305,1,No
