file_x,file_y,decision,dist_l2,y,y_pred,y_pred_final,dist_l2_scaled
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1053712640,2994395027_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10599708/1602069934,2558452172_align.jpg",Yes,1.2868,1,No,No,-1.2868
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/2628164970,3217226749_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1251336588,3918822883_align.jpg",Yes,0.6647,1,Yes,No,-0.6647
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10175010/3223511003,1052165669_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10175010/1673287643,3161449195_align.jpg",Yes,0.7705,1,Yes,No,-0.7705
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/740674724,3075371369_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/289234382,1612078818_align.jpg",Yes,0.7751,1,Yes,No,-0.7751
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10200449/7e3e6709c93d70cf4accd2c3f9dcd100bba12bcd.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10200449/8d5494eef01f3a291722bb009825bc315d607c11.jpg_align.jpg",Yes,0.8217,1,Yes,No,-0.8217
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10355171/1116705154,3414843411_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10355171/2271455697,2253640177_align.jpg",Yes,0.9151,1,Yes,No,-0.9151
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10188256/3035090647,3352931600_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10188256/3210186808,2971440047_align.jpg",Yes,0.932,1,Yes,No,-0.932
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/4098178988,3077523749_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/1931069797,999508884_align.jpg",Yes,1.1258,1,No,No,-1.1258
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/740674724,3075371369_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/2162440510,1392334322_align.jpg",Yes,1.2337,1,No,No,-1.2337
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/2023337787,2176080793_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/3008846949,2590520576_align.jpg",Yes,0.8383,1,Yes,No,-0.8383
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/3553022976,4005963428_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10151957/96dda144ad3459829c85ef770df431adcaef84c3.jpg_align.jpg",Yes,1.184,1,No,No,-1.184
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/4202779921,691114325_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/1702958237,2592409739_align.jpg",Yes,0.9338,1,Yes,No,-0.9338
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/2735877323,3415697649_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10392933/3943287184,721151967_align.jpg",Yes,1.0851,1,No,No,-1.0851
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/2983825520,3441474348_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/1479599172,3938228881_align.jpg",Yes,0.9104,1,Yes,No,-0.9104
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1587877911,2759202088_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10254152/1082698621,411031910_align.jpg",Yes,1.3283,1,No,No,-1.3283
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/1421877948,1741501900_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/3711243908,71532223_align.jpg",Yes,0.7721,1,Yes,No,-0.7721
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/1391464715,1675623942_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/2692957186,3316187766_align.jpg",Yes,0.9914,1,Yes,No,-0.9914
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/2210383456,3463781148_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298234/2086435479,1789090965_align.jpg",Yes,0.9464,1,Yes,No,-0.9464
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10168383/1098205008,2394540676_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10168383/90608106,1125879744_align.jpg",Yes,0.9299,1,Yes,No,-0.9299
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/1100764969,3079662025_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10301167/4012122422,1009758585_align.jpg",Yes,1.1384,1,No,No,-1.1384
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/1514410239,758688293_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10526004/1286362789,647563715_align.jpg",Yes,0.6987,1,Yes,No,-0.6987
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/3887776462,3821378987_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/2293310355,865655786_align.jpg",Yes,0.8824,1,Yes,No,-0.8824
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/2600542302,1578273165_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10457172/3573600825,2946034721_align.jpg",Yes,1.0916,1,No,No,-1.0916
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340509/1910420171,3326067301_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10340509/3460781944,1424064927_align.jpg",Yes,1.1976,1,No,No,-1.1976
